lotes_urbanos.codigo_ibge_municipio,lotes_urbanos.codigo_cartografico,lotes_urbanos.geometria,lotes_urbanos.area,testada_m,profundidade_m,Adjacente
4104501,01.03.002.3.0054.0700,"MULTIPOLYGON(((-53.80150117759909 -25.680300759236015,-53.8014051938488 -25.68032471184314,-53.801484493293636 -25.680585641504813,-53.801524143165814 -25.680716106305553,-53.801620127190546 -25.680692153596947,-53.80150117759909 -25.680300759236015)))",450.0000,9.98,45.12,
4104501,01.03.002.3.0054.040A,"MULTIPOLYGON(((-53.8016067473871 -25.680987907909344,-53.80157700981751 -25.68089005934197,-53.801385041390894 -25.680937964669006,-53.80141477882328 -25.681035813287117,-53.8016067473871 -25.680987907909344)))",225.0000,11.28,19.96,
4104501,01.06.004.1.0014.070A,"MULTIPOLYGON(((-53.81056886494553 -25.656600744589337,-53.810542432389546 -25.6565137695506,-53.810422478962344 -25.656543715649807,-53.81030252546573 -25.656573661655273,-53.81018257189988 -25.65660360756692,-53.81006261826471 -25.656633553384648,-53.810089050516254 -25.656720528536244,-53.81056886494553 -25.656600744589337)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.160A,"MULTIPOLYGON(((-53.81078032699059 -25.65729654457858,-53.81075389407965 -25.65720956961113,-53.81027407751921 -25.657329354347414,-53.81030051012569 -25.65741632942754,-53.81078032699059 -25.65729654457858)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.1300,"MULTIPOLYGON(((-53.81072746121313 -25.65712259463476,-53.810701028390994 -25.65703561964955,-53.81022121243936 -25.657155404160118,-53.810247644957094 -25.657242379258182,-53.81072746121313 -25.65712259463476)))",500.0000,10.03,49.90,
4104501,01.02.002.0.0033.1400,"MULTIPOLYGON(((-53.805349312467435 -25.677374518147236,-53.805296442541184 -25.677200566734747,-53.80481654054409 -25.677320340366087,-53.80486940986064 -25.677494292004234,-53.80520534180194 -25.677410450462094,-53.805349312467435 -25.677374518147236)))",1000.0000,14.97,49.90,
4104501,01.03.002.3.0054.0200,"MULTIPOLYGON(((-53.801484493293614 -25.680585641504813,-53.801405193848815 -25.68032471184314,-53.801213226215026 -25.68037261687702,-53.80129252529392 -25.680633546673985,-53.801484493293614 -25.680585641504813)))",600.0000,19.96,30.08,
4104501,01.02.002.0.0033.1100,"MULTIPOLYGON(((-53.805296442541184 -25.677200566734747,-53.805243572792506 -25.677026615286486,-53.804763671405105 -25.677146388692346,-53.80481654054409 -25.677320340366087,-53.805296442541184 -25.677200566734747)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.030C,"MULTIPOLYGON(((-53.811291461041655 -25.657449661475088,-53.811238594449925 -25.657275711787815,-53.81111864051119 -25.65730565850683,-53.81117150695069 -25.6574796082504,-53.811291461041655 -25.657449661475088)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.1000,"MULTIPOLYGON(((-53.81137276885961 -25.656867918812388,-53.81131990249589 -25.6566939691309,-53.81084008870616 -25.656813755517852,-53.810744125815056 -25.656837712615012,-53.810770558609406 -25.656924687595588,-53.81079699144812 -25.657011662567257,-53.810892954461 -25.656987705424903,-53.81137276885961 -25.656867918812388)))",1200.0000,9.98,59.88,
4104501,01.02.002.0.0033.1300,"MULTIPOLYGON(((-53.80559414354708 -25.677500559470293,-53.80554127319938 -25.677326608183627,-53.80548840302925 -25.67715265686136,-53.805435533036714 -25.676978705503423,-53.805243572792506 -25.677026615286486,-53.805296442541184 -25.677200566734747,-53.805349312467435 -25.677374518147236,-53.805402182571264 -25.677548469524037,-53.80559414354708 -25.677500559470293)))",1200.0000,19.96,60.17,
