quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria,quadras.area
4104501,01.04.002.12.0281,"MULTIPOLYGON(((-53.78794224469286 -25.679485370526848,-53.787738272831874 -25.679536251121622,-53.78773827280089 -25.67953625101953,-53.78753430070864 -25.679587131240602,-53.78785138152343 -25.680630889629676,-53.78825932855722 -25.680529127563457,-53.78819855388742 -25.68032907413196,-53.78816103097809 -25.680205563170414,-53.788124566375735 -25.68008553107151,-53.78808810185785 -25.679965498955664,-53.78805163742442 -25.679845466822876,-53.78801517307544 -25.679725434673138,-53.78797870881092 -25.679605402506457,-53.78794224469286 -25.679485370526848)))",5099.9956
4104501,01.06.002.0.048A,"MULTIPOLYGON(((-53.79612949460174 -25.680445260568042,-53.796014687937365 -25.68047520852571,-53.795899881207156 -25.680505156397533,-53.79578507441092 -25.68053510418362,-53.79567026754887 -25.68056505188377,-53.7955554606208 -25.680594999498084,-53.79544065362682 -25.680624947026658,-53.79530671205063 -25.68065988570149,-53.79535793777026 -25.680821137151483,-53.79549187950267 -25.680786198416417,-53.79560668663047 -25.680756250836236,-53.79572149369226 -25.680726303170307,-53.795836300688215 -25.680696355418544,-53.79595110761816 -25.68066640758084,-53.79606591448228 -25.680636459657393,-53.796180721280486 -25.68060651164811,-53.79631466246163 -25.680571572195444,-53.796263435626784 -25.68041032117551,-53.79612949460174 -25.680445260568042)))",1860.0000
4104501,01.04.002.3.0075,"MULTIPOLYGON(((-53.79498871836584 -25.69046677449014,-53.795102515267885 -25.69084542088456,-53.795232207042126 -25.6908134214014,-53.795361898736 -25.690781421808456,-53.79549159034959 -25.69074942210562,-53.795621281882894 -25.690717422292803,-53.79579420380243 -25.690674755704894,-53.79592869853005 -25.690641570445862,-53.79606319317132 -25.690608385068654,-53.79594939360356 -25.690229739648608,-53.795814899335475 -25.690262924889403,-53.79568040498106 -25.69029611001202,-53.795545910540206 -25.690329295016465,-53.79550748354135 -25.690338776424625,-53.795377792367816 -25.690370776105812,-53.795248101114105 -25.69040277567711,-53.795118409780116 -25.69043477513862,-53.79498871836584 -25.69046677449014)))",4350.0000
4104501,01.05.004.1.0015,"MULTIPOLYGON(((-53.81018502528034 -25.657721669728954,-53.810132160095215 -25.65754771952143,-53.81007929508756 -25.657373769278202,-53.81005286265029 -25.65728679414316,-53.81002643025738 -25.65719981899928,-53.80999999790885 -25.657112843846402,-53.809973565604665 -25.657025868684595,-53.80992070112952 -25.656851918334308,-53.80986807928157 -25.656678765732835,-53.80986543151036 -25.656670053204884,-53.80981497271142 -25.656504017526583,-53.80968916531027 -25.656535424380134,-53.80958696473372 -25.656560937880947,-53.809431073140594 -25.656599854729844,-53.80937288193587 -25.65680238732511,-53.809315221894 -25.657003070649395,-53.80925729602645 -25.65720467859179,-53.80919936999592 -25.657406286522512,-53.8090297037154 -25.657996796085133,-53.80903345704565 -25.658009146587087,-53.809494085106145 -25.65789415688162,-53.80970520595891 -25.657841452804174,-53.80980116991196 -25.65781749630923,-53.80989713382063 -25.65779353975425,-53.81018502528034 -25.657721669728954)))",11257.1436
4104501,01.04.002.3.0135,"MULTIPOLYGON(((-53.79481696285756 -25.675672203516275,-53.79477467965082 -25.67553303823068,-53.79473768193797 -25.675411268587006,-53.794695398944164 -25.675272103258663,-53.79450343563246 -25.675319999025273,-53.794388257559646 -25.675348736369955,-53.79427307942287 -25.675377473628046,-53.79415790122232 -25.675406210799654,-53.7940427229578 -25.67543494788459,-53.79392754462949 -25.67546368488293,-53.793735580608164 -25.675511579687512,-53.79377786262625 -25.675650745376327,-53.79381485948533 -25.675772515335428,-53.79385714171633 -25.67591168098151,-53.79404910629872 -25.675863785969664,-53.794164284963756 -25.675835048846942,-53.79427946356481 -25.675806311637643,-53.79439464210209 -25.675777574341765,-53.7945098205755 -25.675748836959304,-53.79462499898493 -25.67572009949016,-53.79481696285756 -25.675672203516275)))",4600.0000
4104501,01.04.002.3.0076,"MULTIPOLYGON(((-53.79606467433614 -25.69020129506245,-53.796107839712626 -25.690344919162552,-53.79614315692811 -25.690462429772065,-53.79617847422379 -25.69057994036557,-53.79644746309941 -25.690513569054037,-53.79662999106824 -25.690468531109104,-53.79660152762439 -25.690373826391003,-53.79657309039379 -25.69027920870732,-53.79651618992774 -25.690089886263973,-53.79642492621644 -25.690112405171064,-53.79633366246537 -25.690134924023756,-53.79619916844388 -25.690168109602183,-53.79606467433614 -25.69020129506245)))",2044.5000
4104501,01.01.002.0.0031,"MULTIPOLYGON(((-53.80751598505903 -25.677023475431838,-53.80741023965522 -25.676675574630284,-53.80735736721972 -25.676501624175742,-53.80730449496182 -25.676327673685687,-53.807251622881516 -25.676153723160027,-53.80719875097892 -25.675979772598595,-53.80697320061757 -25.67603606907988,-53.806819634273886 -25.676074398409114,-53.80676017809845 -25.67627638541146,-53.80670072175441 -25.676478372401387,-53.8065818085606 -25.676882346344023,-53.80646289469235 -25.677286320237076,-53.80703608672138 -25.67714325613486,-53.80751598505903 -25.677023475431838)))",8953.2002
4104501,01.06.004.1.0066,"MULTIPOLYGON(((-53.81401399186153 -25.6567690428942,-53.813781364987165 -25.656003669635183,-53.81346853042554 -25.656081775534897,-53.81336297264497 -25.656108130142467,-53.813257414810586 -25.6561344846773,-53.81315185692261 -25.65616083913938,-53.81304629898095 -25.656187193528897,-53.81294074098559 -25.656213547845763,-53.81283518293655 -25.656239902090064,-53.81289333801231 -25.65643124595897,-53.81295149330285 -25.656622589784682,-53.813067804528245 -25.65700527730658,-53.813173363166655 -25.656978922843997,-53.81327892175136 -25.656952568308764,-53.813384480282366 -25.65692621370078,-53.81349003875969 -25.656899859020303,-53.81350356943342 -25.656896480824184,-53.81359559718341 -25.656873504267097,-53.81370115555333 -25.65684714944123,-53.81380671386957 -25.656820794542707,-53.81391227213209 -25.656794439571442,-53.81401399186153 -25.6567690428942)))",8676.7998
4104501,01.03.001.0.0011,"MULTIPOLYGON(((-53.80691774440067 -25.661536474282606,-53.80686488159373 -25.66136252271317,-53.80681201896427 -25.66118857110798,-53.806759156512264 -25.66101461946721,-53.80670629423772 -25.66084066779076,-53.806653432140635 -25.66066671607855,-53.806600570221114 -25.66049276433074,-53.806547708478945 -25.660318812547274,-53.806312589796335 -25.660377501130103,-53.80606787415003 -25.660438584782458,-53.80593352033914 -25.66047212073929,-53.80574158617284 -25.660520029044648,-53.805578441991955 -25.660560750915394,-53.805631302503734 -25.660734703154294,-53.805684163192865 -25.66090865535762,-53.80573702405954 -25.66108260752519,-53.80574759625422 -25.661117397954435,-53.80575041001085 -25.661126657314554,-53.805872637888285 -25.66123590398768,-53.805930006142766 -25.661287179339162,-53.80603631349446 -25.66138219593194,-53.806363665905586 -25.661674779160823,-53.80643790580789 -25.6616562480962,-53.80667782524292 -25.661596361377068,-53.80691774440067 -25.661536474282606)))",12518.9941
4104501,01.05.001.1.0005,"MULTIPOLYGON(((-53.79581549109454 -25.66581634242817,-53.7955550675437 -25.664959141273926,-53.79555396250409 -25.664955503931928,-53.795308270672045 -25.665016810195024,-53.79517390782852 -25.665050336891003,-53.795039544897996 -25.66508386346919,-53.794905181880665 -25.665117389929595,-53.79477081877632 -25.665150916272303,-53.794636455585085 -25.665184442497132,-53.79450209230704 -25.665217968604164,-53.794367728942014 -25.665251494593498,-53.794233365490165 -25.665285020464943,-53.79409900195133 -25.6653185462186,-53.79396463832569 -25.66535207185446,-53.79389496115412 -25.665369457245006,-53.793830274613065 -25.665385597372623,-53.793695910813625 -25.665419122772892,-53.7932313952945 -25.66553502396348,-53.79350874060802 -25.66639191779931,-53.79581549109454 -25.66581634242817)))",23869.4863
