"OSM_ID_MUNICIPIO";"COD_PAIS";"OSM_NOM_MUNICIPIO"
242552;"BR";"Porto Vera Cruz"
242553;"BR";"Manoel Viana"
242554;"BR";"Veranópolis"
242555;"BR";"Gramado Xavier"
242556;"BR";"Harmonia"
242557;"BR";"Pirapó"
242558;"BR";"Imbé"
242559;"BR";"Palmitinho"
242560;"BR";"Restinga Sêca"
242561;"BR";"Três Cachoeiras"
242562;"BR";"Serafina Corrêa"
242563;"BR";"Coqueiros do Sul"
242564;"BR";"Amaral Ferrador"
242565;"BR";"Vitória das Missões"
242566;"BR";"Sapiranga"
242567;"BR";"Chapada"
242568;"BR";"Centenário"
242569;"BR";"Sobradinho"
242570;"BR";"Erebango"
242571;"BR";"Gramado"
242572;"BR";"Marau"
242573;"BR";"Três Forquilhas"
242574;"BR";"Canoas"
242575;"BR";"Tupanci do Sul"
242576;"BR";"Independência"
242577;"BR";"São João do Polêsine"
242578;"BR";"Alpestre"
242579;"BR";"Poço das Antas"
242580;"BR";"Bom Progresso"
242581;"BR";"Viamão"
242582;"BR";"Mato Castelhano"
242583;"BR";"São Domingos do Sul"
242584;"BR";"Machadinho"
242585;"BR";"Passo Fundo"
242586;"BR";"Cândido Godói"
242587;"BR";"Ilópolis"
242588;"BR";"Morro Reuter"
242589;"BR";"Barros Cassal"
242590;"BR";"Mampituba"
242591;"BR";"Taquari"
242592;"BR";"Salvador das Missões"
242593;"BR";"Derrubadas"
242594;"BR";"Pontão"
242595;"BR";"Santa Maria"
242596;"BR";"Vila Maria"
242597;"BR";"Almirante Tamandaré do Sul"
242598;"BR";"Nova Esperança do Sul"
242599;"BR";"Santa Margarida do Sul"
242600;"BR";"Vera Cruz"
242601;"BR";"Candelária"
242602;"BR";"Tiradentes do Sul"
242603;"BR";"Rio dos Índios"
242604;"BR";"Palmeira das Missões"
242605;"BR";"Pedras Altas"
242606;"BR";"Alto Feliz"
242607;"BR";"Pinheirinho do Vale"
242608;"BR";"Feliz"
242609;"BR";"Ronda Alta"
242610;"BR";"Fazenda Vilanova"
242611;"BR";"Dois Irmãos das Missões"
242612;"BR";"Arroio dos Ratos"
242613;"BR";"Campo Bom"
242614;"BR";"Jóia"
242615;"BR";"Nova Araçá"
242616;"BR";"Novo Hamburgo"
242617;"BR";"Cotiporã"
242618;"BR";"Arvorezinha"
242619;"BR";"Vista Alegre do Prata"
242621;"BR";"Vale Verde"
242622;"BR";"Erechim"
242623;"BR";"Dom Pedro de Alcântara"
242624;"BR";"Pejuçara"
242625;"BR";"Chiapetta"
242626;"BR";"Rio Pardo"
242627;"BR";"Saldanha Marinho"
242628;"BR";"Teutônia"
242629;"BR";"Humaitá"
242630;"BR";"Bom Retiro do Sul"
242631;"BR";"Santa Cruz do Sul"
