COD_MUNICIPIO,COD_UNICO_ENDERECO,NUM_QUADRA,NOM_LOGRADOURO,NUM_ENDERECO,NOM_LOGRADOURO_ADJACENTE,DIM_TESTADA,DIM_PROFUNDIDADE,AREA
4104501,01.02.001.0.082A.0800,01.02.001.0.082A,"TR JOSE FLORIANO BRANDAO",20,,10.00,46.40,NULL
4104501,01.02.001.0.0082.0500,01.02.001.0.0082,"TR JOSE FLORIANO BRANDAO",75,,10.00,36.80,NULL
4104501,01.02.001.0.0082.0400,01.02.001.0.0082,"TR JOSE FLORIANO BRANDAO",65,,10.00,46.40,NULL
4104501,01.02.001.0.0082.0300,01.02.001.0.0082,"TR JOSE FLORIANO BRANDAO",45,,10.00,46.40,NULL
4104501,01.02.001.0.0082.0200,01.02.001.0.0082,"TR JOSE FLORIANO BRANDAO",23,,10.00,46.40,NULL
4104501,01.04.002.3.0058.0500,01.04.002.3.0058,"TR IRMUT HELMUT KRUGER",38,,10.00,50.00,NULL
4104501,01.04.002.3.0058.040A,01.04.002.3.0058,"TR IRMUT HELMUT KRUGER",48,,10.00,45.00,NULL
4104501,01.04.002.3.0058.030B,01.04.002.3.0058,"TR IRMUT HELMUT KRUGER",68,,10.00,25.00,NULL
4104501,01.04.002.3.0058.0300,01.04.002.3.0058,"TR IRMUT HELMUT KRUGER",76,,10.00,25.00,NULL
4104501,01.04.002.3.0058.020B,01.04.002.3.0058,"TR IRMUT HELMUT KRUGER",22,,10.00,20.00,NULL
4104501,01.04.002.3.0057.05AA,01.04.002.3.0057,"TR IRMUT HELMUT KRUGER",31,,10.00,30.49,NULL
4104501,01.04.002.3.0057.050A,01.04.002.3.0057,"TR IRMUT HELMUT KRUGER",37,,10.00,29.51,NULL
4104501,01.04.002.3.0057.0400,01.04.002.3.0057,"TR IRMUT HELMUT KRUGER",51,,10.00,70.00,NULL
4104501,01.04.002.3.0057.0300,01.04.002.3.0057,"TR IRMUT HELMUT KRUGER",75,,10.00,60.00,NULL
4104501,01.04.002.3.0057.0500,01.04.002.3.0057,"TR IGUACU",32,,10.00,60.00,NULL
4104501,01.04.002.3.0057.03AB,01.04.002.3.0057,"TR IGUACU",66,,10.00,20.00,NULL
4104501,01.04.002.3.0057.03AA,01.04.002.3.0057,"TR IGUACU",50,,10.00,37.50,NULL
4104501,01.04.002.3.0057.030A,01.04.002.3.0057,"TR IGUACU",70,,10.00,52.50,NULL
4104501,01.04.002.3.0057.02AA,01.04.002.3.0057,"TR IGUACU",18,,10.00,25.00,NULL
4104501,01.04.002.3.0056.050A,01.04.002.3.0056,"TR IGUACU",29,,10.00,50.00,NULL
4104501,01.04.002.3.0056.040B,01.04.002.3.0056,"TR IGUACU",59,,10.00,25.00,NULL
4104501,01.04.002.3.0056.0400,01.04.002.3.0056,"TR IGUACU",049,,10.00,25.00,NULL
4104501,01.04.002.3.0056.03BB,01.04.002.3.0056,"TR IGUACU",69,,10.00,25.00,NULL
4104501,01.04.002.3.0056.03BA,01.04.002.3.0056,"TR IGUACU",77,,10.00,25.00,NULL
4104501,01.03.001.0.CHAC.089A,01.03.001.0.CHAC,"TR FERNANDO GIACOMO BIGATON",90,,10.00,355.59,NULL
4104501,01.03.001.0.0089.890D,01.03.001.0.0089,"TR FERNANDO GIACOMO BIGATON",107,,10.00,25.59,NULL
4104501,01.03.001.0.0089.890C,01.03.001.0.0089,"TR FERNANDO GIACOMO BIGATON",101,,10.00,48.00,NULL
4104501,01.04.002.3.0105.3500,01.04.002.3.0105,"TR DONA TEREZA",38,,10.00,43.25,NULL
4104501,01.04.002.3.0105.3400,01.04.002.3.0105,"TR DONA TEREZA",24,,10.00,43.25,NULL
4104501,01.04.002.3.0105.3200,01.04.002.3.0105,"TR DONA TEREZA",39,,10.00,43.25,NULL
4104501,01.04.002.3.0105.3100,01.04.002.3.0105,"TR DONA TEREZA",27,,10.00,43.25,NULL
4104501,01.06.002.4.0101.1300,01.06.002.4.0101,"TR DIONISIO CARBONI",911,,10.00,242.00,NULL
4104501,02.06.005.0.0014.001D,02.06.005.0.0014,"SAO LUIZ",0,,10.00,100.00,NULL
4104501,02.06.005.0.0014.001C,02.06.005.0.0014,"SAO LUIZ",0,,10.00,76.00,NULL
4104501,02.06.005.0.0014.001B,02.06.005.0.0014,"SAO LUIZ",0,,10.00,76.00,NULL
4104501,02.06.005.0.0014.001A,02.06.005.0.0014,"SAO LUIZ",0,,10.00,248.00,NULL
4104501,02.06.005.0.0012.0300,02.06.005.0.0012,"SAO LUIZ",0,,10.00,97.17,NULL
4104501,02.06.005.0.0012.02AA,02.06.005.0.0012,"SAO LUIZ",,,10.00,472.75,NULL
4104501,02.06.005.0.0011.0400,02.06.005.0.0011,"SAO LUIZ",0,,10.00,30.00,NULL
4104501,02.06.005.0.0011.0200,02.06.005.0.0011,"SAO LUIZ",1210,,10.00,103.50,NULL
4104501,02.06.005.0.0011.0100,02.06.005.0.0011,"SAO LUIZ",1879,,10.00,218.20,NULL
4104501,02.06.005.0.0011.003A,02.06.005.0.0011,"SAO LUIZ",0,,10.00,386.63,NULL
4104501,02.06.005.0.0009.1000,02.06.005.0.0009,"SAO LUIZ",0,,10.00,127.00,NULL
4104501,02.06.005.0.0009.0900,02.06.005.0.0009,"SAO LUIZ",0,,10.00,202.00,NULL
4104501,02.06.005.0.0008.0700,02.06.005.0.0008,"SAO LUIZ",0,,10.00,60.00,NULL
4104501,02.06.005.0.0008.0600,02.06.005.0.0008,"SAO LUIZ",0,,10.00,253.00,NULL
4104501,02.06.005.0.0008.0500,02.06.005.0.0008,"SAO LUIZ",0,,10.00,176.00,NULL
4104501,02.06.005.0.0008.0400,02.06.005.0.0008,"SAO LUIZ",525,,10.00,164.00,NULL
4104501,02.06.005.0.0008.020C,02.06.005.0.0008,"SAO LUIZ",0,,10.00,123.12,NULL
4104501,02.06.005.0.0008.020B,02.06.005.0.0008,"SAO LUIZ",S/N,,10.00,130.00,NULL
4104501,02.06.005.0.0008.020A,02.06.005.0.0008,"SAO LUIZ",0,,10.00,80.00,NULL
4104501,02.06.005.0.0007.020C,02.06.005.0.0007,"SAO LUIZ",0,,10.00,133.20,NULL
4104501,02.06.005.0.0007.020B,02.06.005.0.0007,"SAO LUIZ",0,,10.00,133.20,NULL
4104501,02.06.005.0.0007.0200,02.06.005.0.0007,"SAO LUIZ",0,,10.00,187.20,NULL
4104501,02.06.005.0.0006.0100,02.06.005.0.0006,"SAO LUIZ",0,,10.00,228.17,NULL
4104501,02.06.005.0.0005.0100,02.06.005.0.0005,"SAO LUIZ",0,,10.00,115.70,NULL
4104501,02.06.005.0.0003.0100,02.06.005.0.0003,"SAO LUIZ",0,,10.00,161.92,NULL
4104501,02.06.005.0.0003.003A,02.06.005.0.0003,"SAO LUIZ",0,,10.00,100.00,NULL
4104501,02.06.005.0.0002.010B,02.06.005.0.0002,"SAO LUIZ",S/N,,10.00,56.96,NULL
4104501,02.06.005.0.0002.010A,02.06.005.0.0002,"SAO LUIZ",,,10.00,40.44,NULL
4104501,02.06.005.0.0001.0100,02.06.005.0.0001,"SAO LUIZ",0,,10.00,968.77,NULL
4104501,01.04.002.4.0122.1300,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",791,,10.00,36.11,NULL
4104501,01.04.002.4.0122.1200,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",779,,10.00,36.11,NULL
4104501,01.04.002.4.0122.1100,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",767,,10.00,36.11,NULL
4104501,01.04.002.4.0122.1000,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",751,,10.00,36.11,NULL
4104501,01.04.002.4.0122.0900,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",737,,10.00,36.11,NULL
4104501,01.04.002.4.0122.0200,01.04.002.4.0122,"RUA ZEMIRO BAZZANELLA",821,,10.00,33.75,NULL
4104501,01.04.002.4.0121.0900,01.04.002.4.0121,"RUA ZEMIRO BAZZANELLA",808,,10.00,36.11,NULL
