CODIGO,FACE,QLAT,QLNG,V1LAT,V1LNG,D1,V2LAT,V2LNG,D2
01.03.002.3.0084,,-25.68413876622717,-53.80113050534045,-25.6832188,-53.8007504,0.0009953983770230707,-25.6851144,-53.8013302,0.000995861042382939
01.06.004.1.0002,,-25.653202738525145,-53.8110906251779,-25.6552632,-53.8024077,0.008924051273623538,-25.6555756,-53.8011273,0.010241988097015795
01.06.004.1.0002,,-25.65366966591375,-53.81185003569268,0,0,0,0,0,0
01.06.004.1.0002,,-25.65442128211744,-53.81145707551037,-25.654382,-53.812147,0.0006910418845107749,-25.6547103,-53.8108146,0.0007044899700230204
01.06.004.1.0002,,-25.653954354728832,-53.81069766499559,-25.6532896,-53.810379,0.0007371880553271915,-25.6547103,-53.8108146,0.0007649359765764325
01.06.004.1.0008,,-25.654585955738025,-53.811499115185605,-25.654382,-53.812147,0.0006792294721241622,-25.6547103,-53.8108146,0.0006957172808038681
01.06.004.1.0008,,-25.655051033982687,-53.81225991412869,0,0,0,0,0,0
01.06.004.1.0008,,-25.655803603006195,-53.81186917653096,-25.6560524,-53.8112258,0.0006898067154761174,-25.6557194,-53.8125676,0.0007034809793855691
01.06.004.1.0008,,-25.655338524761532,-53.81110837758787,-25.6547103,-53.8108146,0.0006935211764148162,-25.6560524,-53.8112258,0.0007234679529654552
01.06.004.1.0013,,-25.655975657860232,-53.81192320527459,-25.6557194,-53.8125676,0.0006934786608619265,-25.6560524,-53.8112258,0.0007016149036591735
01.06.004.1.0013,,-25.656440732934684,-53.812684015023066,0,0,0,0,0,0
01.06.004.1.0013,,-25.657193303126213,-53.81229327656254,-25.6574455,-53.8116652,0.0006768186105323743,-25.6571136,-53.8129877,0.0006989824739006127
01.06.004.1.0013,,-25.656728228051765,-53.81153246681407,-25.6574455,-53.8116652,0.0007294498929833153,-25.6560524,-53.8112258,0.0007421509889529793
01.04.001.1.0116,,-25.653919027804562,-53.79994794101337,-25.6537611,-53.8001594,0.000263924410540006,-25.6538895,-53.799659,0.0002904458649241882
01.04.001.1.0116,,-25.6543078121262,-53.800264793812005,-25.654775,-53.8004733,0.0005116046714605207,-25.6537611,-53.8001594,0.0005567782364111921
01.04.001.1.0116,,-25.65478880419245,-53.800212185898445,-25.654775,-53.8004733,0.00026147873672633965,-25.6548998,-53.7999734,0.000263322567567579
01.04.001.1.0116,,-25.654400019870813,-53.79989533309981,-25.6548998,-53.7999734,0.0005058405069127026,-25.6538895,-53.799659,0.00056256899360395
01.04.002.12.0285,,-25.67896158126574,-53.790041942522464,-25.6788458,-53.790293,0.00027646909144000753,-25.6789833,-53.789722,0.00032067884417289746
01.04.002.12.0285,,-25.679432573275278,-53.79040446233398,-25.6799348,-53.7906228,0.0005476340196056466,-25.6788458,-53.790293,0.0005972660449716951
01.04.002.12.0285,,-25.68000533291179,-53.790359041191344,-25.6799348,-53.7906228,0.00027302674006331114,-25.6800863,-53.7900636,0.0003063350566192141
01.04.002.12.0285,,-25.679534340902247,-53.78999652137983,-25.6800863,-53.7900636,0.0005560201317183446,-25.6789833,-53.789722,0.0006156363081674976
