codigo_ibge_municipio,_c1,_c2,_c3
4118402,01.06.130.0628,767 - LUIZ DIOGO FERRAZ,1737
4118402,01.06.163.0293,83 - RIO GRANDE DO SUL,2787
4118402,01.06.130.0618,767 - LUIZ DIOGO FERRAZ,1747
4118402,01.06.035.0007,249 - EDSON MARTINS,305
4118402,01.06.035.0007,249 - EDSON MARTINS,S/N
4118402,01.06.080.0179,342 - COSMO DAMIANI JACOVOZZI,399
4118402,01.04.215.0081,14 - LAGUNA,258
4118402,01.04.215.0104,14 - LAGUNA,262
4118402,01.04.215.0074,14 - LAGUNA,254
4118402,01.06.147.0087,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.147.0113,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.147.0127,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.006.0093,260 - PRINCESA IZABEL,1630
4118402,01.06.349.2057,1084 - ESTRADA MUNICIPAL,SN
4118402,01.06.064.0304,280 - PIONEIRO OSVALDO RASMUSSEN,83
4118402,01.01.051.0409,107 - DR SYLVIO VIDAL COELHO LEITE RIBEIRO,1835
4118402,01.02.458.0280,426 - BR 376,SN
4118402,01.02.458.0202,426 - BR 376,SN
4118402,01.02.458.0142,426 - BR 376,SN
4118402,01.06.161.0745,426 - BR 376,S/N
4118402,01.03.166.0178,174 - PAULO ANTONIO DA COSTA,620
4118402,01.02.363.0198,217 - PIONEIRO SERGIO RODRIGUES DE CARVALHO,507
4118402,01.01.038.0162,117 - GUAPORE,1190
4118402,01.01.038.0162,117 - GUAPORE,1168
4118402,01.02.034.0044,64 - PRES TANCREDO NEVES,2920
4118402,01.04.159.0149,40 - ROOSEVELT,S/N
4118402,01.04.084.0103,40 - ROOSEVELT,S/N
4118402,01.04.241.0320,298 - DOS EXPEDICIONARIOS,S/N
4118402,01.04.086.0137,37 - LEODEGARIO GOMES PATRIOTA,S/N
4118402,01.06.054.0257,272 - GABRIEL ESPERIDIAO,360
4118402,01.06.254.0175,771 - JOSE FELIPE 'TEQUINHA',S/N
4118402,01.06.005.0165,108 - PARA,702
4118402,01.02.133.0034,224 - OTAVIO BORIN,SN
4118402,01.02.133.0017,224 - OTAVIO BORIN,SN
4118402,01.03.447.0096,662 - ANTONIO SILVESTRE OLIVEIRA,740
4118402,01.04.008.0072,26 - TOME DE SOUZA,174
4118402,01.02.355.0243,790 - JOSE RODRIGUES DE OLIVEIRA,153
4118402,01.02.355.0235,790 - JOSE RODRIGUES DE OLIVEIRA,153
4118402,01.02.355.0226,790 - JOSE RODRIGUES DE OLIVEIRA,134
4118402,01.02.355.0082,800 - VANDERLEY ANTONIO SANGA,92
4118402,01.02.355.0091,800 - VANDERLEY ANTONIO SANGA,94
4118402,01.02.355.0070,800 - VANDERLEY ANTONIO SANGA,88
4118402,01.02.355.0065,800 - VANDERLEY ANTONIO SANGA,86
4118402,01.02.042.0190,90 - BAHIA,1275
4118402,01.02.042.0180,90 - BAHIA,1277
4118402,01.02.077.0234,248 - ODINOT MACHADO,1541
4118402,01.06.046.0438,272 - GABRIEL ESPERIDIAO,405
4118402,01.06.088.0405,275 - DOMINGOS SANCHES,700
4118402,01.06.088.0405,275 - DOMINGOS SANCHES,750
4118402,01.06.088.0405,275 - DOMINGOS SANCHES,700
4118402,01.06.088.0405,275 - DOMINGOS SANCHES,S/N
4118402,01.02.444.0735,220 - GUERINO POMIN,SN
4118402,01.04.176.0137,41 - ENG.  REBOUÇAS,S/N
4118402,01.04.176.0137,41 - ENG.  REBOUÇAS,60
4118402,01.02.444.0597,220 - GUERINO POMIN,SN
4118402,01.04.382.1317,963 - ESTRADA RURAL,SN
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
