id_quadra,id_quadra_logradouro,cd_logradouro,nm_logradouro,nr_ui,qt_logradouros
01.04.093,"{'01.04.093_PROF GERALDO LONGO', '01.04.093_DUQUE DE CAXIAS', '01.04.093_MONTEIRO LOBATO', '01.04.093_DEPUTADO HEITOR ALENCAR FURTADO'}","{'29', '28', '6713', '16'}","{'MONTEIRO LOBATO', 'PROF GERALDO LONGO', 'DUQUE DE CAXIAS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{209.0, 146.8, 2868.0, 1046.25}",4
01.04.092,"{'01.04.092_RIACHUELO', '01.04.092_PROF GERALDO LONGO', '01.04.092_DUQUE DE CAXIAS', '01.04.092_DEPUTADO HEITOR ALENCAR FURTADO'}","{'29', '6713', '16', '30'}","{'RIACHUELO', 'PROF GERALDO LONGO', 'DUQUE DE CAXIAS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{952.6666666666666, 274.85714285714283, 570.0, 2751.818181818182}",4
01.04.190,"{'01.04.190_BANDEIRANTES', '01.04.190_EMILIO DE MENEZES', '01.04.190_VOLUNTARIO DA PATRIA', '01.04.190_OPERARIOS'}","{'42', '43', '12', '11'}","{'EMILIO DE MENEZES', 'BANDEIRANTES', 'VOLUNTARIO DA PATRIA', 'OPERARIOS'}","{210.66666666666666, 380.5, 658.3333333333334, 183.5}",4
01.04.191,"{'01.04.191_OPERARIOS', '01.04.191_VOLUNTARIO DA PATRIA', '01.04.191_EMILIO DE MENEZES', '01.04.191_ENG.  REBOUÇAS'}","{'41', '42', '12', '11'}","{'EMILIO DE MENEZES', 'VOLUNTARIO DA PATRIA', 'ENG.  REBOUÇAS', 'OPERARIOS'}","{114.28571428571429, 573.8, 221.0, 703.6666666666666}",4
01.04.192,"{'01.04.192_ENG.  REBOUÇAS', '01.04.192_OPERARIOS', '01.04.192_EUCLIDES DA CUNHA', '01.04.192_VOLUNTARIO DA PATRIA'}","{'41', '36', '12', '11'}","{'VOLUNTARIO DA PATRIA', 'EUCLIDES DA CUNHA', 'ENG.  REBOUÇAS', 'OPERARIOS'}","{1320.0, 99.5, 750.8, 615.0}",4
01.03.427,"{'01.03.427_INDUSTRIAL ALBINO FERRACINI', '01.03.427_MILJUTIN KOGEJ', '01.03.427_ANTONIO SILVESTRE OLIVEIRA', '01.03.427_IZIDORIO FERREIRA DA SILVA'}","{'662', '168', '131', '621'}","{'MILJUTIN KOGEJ', 'IZIDORIO FERREIRA DA SILVA', 'ANTONIO SILVESTRE OLIVEIRA', 'INDUSTRIAL ALBINO FERRACINI'}","{1033.75, 858.5555555555555, 1100.0, 655.6666666666666}",4
01.03.449,"{'01.03.449_FRANCISCO FRANCEZ', '01.03.449_BERNARDO DA CUNHA PINHEIRO', '01.03.449_DR JOSE DE MATTOS FILHO', '01.03.449_AMAZONAS'}","{'623', '105', '167', '622'}","{'BERNARDO DA CUNHA PINHEIRO', 'AMAZONAS', 'FRANCISCO FRANCEZ', 'DR JOSE DE MATTOS FILHO'}","{552.2222222222222, 714.4, 550.25, 3695.0}",4
01.04.263,"{'01.04.263_TRAVESSA (DA SAUDADE)', '01.04.263_TUPY', '01.04.263_PIONEIRO SIMIAO', '01.04.263_MACHADO DE ASSIS'}","{'49', '48', '471', '8'}","{'TRAVESSA (DA SAUDADE)', 'PIONEIRO SIMIAO', 'TUPY', 'MACHADO DE ASSIS'}","{72.66666666666667, 887.5, 702.0, 767.6666666666666}",4
01.03.447,"{'01.03.447_DR JOSE DE MATTOS FILHO', '01.03.447_ANTONIO SILVESTRE OLIVEIRA', '01.03.447_FRANCISCO FRANCEZ', '01.03.447_AMAZONAS'}","{'662', '105', '167', '622'}","{'AMAZONAS', 'ANTONIO SILVESTRE OLIVEIRA', 'DR JOSE DE MATTOS FILHO', 'FRANCISCO FRANCEZ'}","{561.4444444444445, 658.6666666666666, 3643.0, 743.4}",4
01.04.264,"{'01.04.264_OLAVO BILAC', '01.04.264_MIGUEL COUTO', '01.04.264_PARTICULAR - JARDIM SAO JORGE', '01.04.264_TUPY'}","{'52', '472', '8', '51'}","{'OLAVO BILAC', 'TUPY', 'PARTICULAR - JARDIM SAO JORGE', 'MIGUEL COUTO'}","{304.0, 56.285714285714285, 88.5, 407.42857142857144}",4
02.01.004,"{'02.01.004_ANTONIO JACOMEL', '02.01.004_PARANAVAI', '02.01.004_FRANCISCO GARCIA', '02.01.004_JOAO CLIMACO PEREIRA'}","{'495', '494', '487', '488'}","{'FRANCISCO GARCIA', 'PARANAVAI', 'ANTONIO JACOMEL', 'JOAO CLIMACO PEREIRA'}","{292.0, 1021.75, 1038.8461538461538, 1207.8}",4
01.03.443,"{'01.03.443_PRIMO DANBROS', '01.03.443_DR JOSE DE MATTOS FILHO', '01.03.443_AMAZONAS', '01.03.443_AMADOR AGUIAR'}","{'105', '167', '161', '620'}","{'AMADOR AGUIAR', 'AMAZONAS', 'PRIMO DANBROS', 'DR JOSE DE MATTOS FILHO'}","{80.25, nan, 554.5, 525.0}",4
01.03.442,"{'01.03.442_MILJUTIN KOGEJ', '01.03.442_INDUSTRIAL ALBINO FERRACINI', '01.03.442_GUSTAVO MARQUES DE OLIVEIRA', '01.03.442_LAURO MENDES CORDOVA'}","{'628', '629', '168', '131'}","{'MILJUTIN KOGEJ', 'GUSTAVO MARQUES DE OLIVEIRA', 'LAURO MENDES CORDOVA', 'INDUSTRIAL ALBINO FERRACINI'}","{1537.0, 1059.3333333333333, 980.0, 831.3333333333334}",4
01.06.240,"{'01.06.240_LUIZ DIOGO FERRAZ', ""01.06.240_JOSE FELIPE 'TEQUINHA'"", '01.06.240_JOAO WINCHE', '01.06.240_ARLETE BORGES BULGUEROLLI'}","{'758', '767', '759', '771'}","{""JOSE FELIPE 'TEQUINHA'"", 'JOAO WINCHE', 'LUIZ DIOGO FERRAZ', 'ARLETE BORGES BULGUEROLLI'}","{nan, nan, 362.0, 347.75}",4
01.03.440,"{'01.03.440_MILJUTIN KOGEJ', '01.03.440_INDUSTRIAL ALBINO FERRACINI', '01.03.440_JOSE MARIA PINHEIRO', '01.03.440_JORGE XAVIER BUENO'}","{'626', '627', '168', '131'}","{'JORGE XAVIER BUENO', 'JOSE MARIA PINHEIRO', 'MILJUTIN KOGEJ', 'INDUSTRIAL ALBINO FERRACINI'}","{1426.0, 847.1666666666666, 846.5, 975.0}",4
01.06.239,"{'01.06.239_ARLETE BORGES BULGUEROLLI', '01.06.239_JOAO WINCHE', '01.06.239_PAULO YOSHIO FUZIZAKI', '01.06.239_LUIZ DIOGO FERRAZ'}","{'766', '758', '759', '767'}","{'PAULO YOSHIO FUZIZAKI', 'JOAO WINCHE', 'LUIZ DIOGO FERRAZ', 'ARLETE BORGES BULGUEROLLI'}","{nan, 212.0, 710.0, 199.0}",4
