,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
4150,01.01.071_DISTRITO FEDERAL,01.01.071,75,DISTRITO FEDERAL
49784,01.01.071_MINAS GERAIS,01.01.071,111,MINAS GERAIS
3064,01.01.072_DISTRITO FEDERAL,01.01.072,75,DISTRITO FEDERAL
19168,01.01.072_MATO GROSSO,01.01.072,89,MATO GROSSO
19492,01.01.072_PARAIBA,01.01.072,109,PARAIBA
4090,01.01.072_SERGIPE,01.01.072,110,SERGIPE
4310,01.01.073_ANTONIO FELIPPE,01.01.073,92,ANTONIO FELIPPE
9815,01.01.073_MATO GROSSO,01.01.073,89,MATO GROSSO
1814,01.01.073_PARA,01.01.073,108,PARA
1808,01.01.073_PARAIBA,01.01.073,109,PARAIBA
1806,01.01.074_ANTONIO FELIPPE,01.01.074,92,ANTONIO FELIPPE
28777,01.01.074_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.074,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
1830,01.01.074_MATO GROSSO,01.01.074,89,MATO GROSSO
28819,01.01.074_PARA,01.01.074,108,PARA
1803,01.01.075_ANTONIO FELIPPE,01.01.075,92,ANTONIO FELIPPE
1810,01.01.075_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.075,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
1805,01.01.075_ETTORE GIOVINE,01.01.075,106,ETTORE GIOVINE
1804,01.01.075_MATO GROSSO,01.01.075,89,MATO GROSSO
27598,01.01.076_AMAZONAS,01.01.076,105,AMAZONAS
2970,01.01.076_ANTONIO FELIPPE,01.01.076,92,ANTONIO FELIPPE
1821,01.01.076_ETTORE GIOVINE,01.01.076,106,ETTORE GIOVINE
1815,01.01.076_MATO GROSSO,01.01.076,89,MATO GROSSO
30652,01.01.077_AMAZONAS,01.01.077,105,AMAZONAS
14725,01.01.077_ANTONIO FELIPPE,01.01.077,92,ANTONIO FELIPPE
4911,01.01.077_ETTORE GIOVINE,01.01.077,106,ETTORE GIOVINE
5103,01.01.077_Getúlio Vargas,01.01.077,1,Getúlio Vargas
