OSM_ID;SC_ID_LOGRADOURO;NOM_LOGRADOURO;OSM_NOM_LOGRADOURO;WKT
250565835;0C5BD29F;RUA ANTONIO NIEHEUS;Rua Antonio Nieheus;LINESTRING (-53.8117274 -25.6671454, -53.8104232 -25.6674715, -53.8091071 -25.6678005, -53.8089758 -25.6678333, -53.8078072 -25.6681254, -53.8064698 -25.6684598, -53.8051479 -25.6687902, -53.8036948 -25.6691607, -53.8023198 -25.6694972, -53.8009904 -25.6698296, -53.8008634 -25.6698613, -53.7994051 -25.6702495, -53.7992702 -25.6702815, -53.797562 -25.6706866)
491358200;0C5BD29F;RUA ANTONIO NIEHEUS;Rua Antonio Nieheus;LINESTRING (-53.797562 -25.6706866, -53.7969066 -25.6708643, -53.7965598 -25.6709678, -53.7963504 -25.6710655, -53.7962867 -25.6711812)
491358211;5CCA62A7;RUA ARARUNA;Rua Araruna;LINESTRING (-53.7899311 -25.6775971, -53.790293 -25.6788458, -53.7906228 -25.6799348)
250411547;08C99AE1;RUA BAHIA;Rua Bahia;LINESTRING (-53.8055203 -25.6700107, -53.80477 -25.670216, -53.8040936 -25.6703757, -53.8027037 -25.6707312, -53.8013717 -25.671072, -53.8012486 -25.6711035, -53.7997672 -25.6714752, -53.7996333 -25.6715105, -53.797939 -25.6719577, -53.7972649 -25.6721225, -53.796607 -25.6722908, -53.7964229 -25.6723379)
342635724;08C99AE1;RUA BAHIA;Rua Bahia;LINESTRING (-53.8081793 -25.6693462, -53.8068524 -25.669676)
342633183;F0D334EC;RUA CARAMURUS;Rua Caramurus;LINESTRING (-53.8024655 -25.6847714, -53.8019016 -25.682931, -53.8018661 -25.6828152, -53.8014431 -25.6814349, -53.801106 -25.6803347, -53.801064 -25.6801977, -53.8006549 -25.6788627, -53.8002786 -25.677624)
491358197;1C2CD413;RUA CEARA;Rua Ceará;LINESTRING (-53.8124978 -25.6602386, -53.8111815 -25.6605698, -53.8098223 -25.6609079, -53.8085151 -25.6612336, -53.8079967 -25.6613706, -53.8078413 -25.6614087, -53.8071956 -25.6615614, -53.8070589 -25.6615954, -53.8063908 -25.6617664, -53.806227 -25.6618084, -53.8059032 -25.6618829, -53.8045519 -25.6622191, -53.8039595 -25.6623961, -53.8033882 -25.6627998, -53.8028029 -25.6631555)
491353797;DFFFFDA3;RUA CLARINDA MAGRO;Rua Clarinda Magro;LINESTRING (-53.7866824 -25.6851881, -53.7870736 -25.6864407)
491353795;E29DE961;RUA CONCORDIA;Rua Concórdia;LINESTRING (-53.7879244 -25.6848409, -53.7882471 -25.6859125)
955695673;8C38F4BF;RUA DAS PEROBAS;Rua das Perobas;LINESTRING (-53.7994462 -25.6531573, -53.799659 -25.6538895, -53.7999734 -25.6548998, -53.8002364 -25.6557941)
250565833;35D01E89;RUA DIONISIO WONS;Rua Dionísio Wons;LINESTRING (-53.8155547 -25.6543136, -53.8153803 -25.6541867, -53.8152985 -25.6541141, -53.8152342 -25.6540247, -53.8150866 -25.6535834, -53.8150089 -25.6534686, -53.8148667 -25.6534106, -53.8147048 -25.6533935, -53.8144188 -25.6534347, -53.8142149 -25.6535036, -53.8139226 -25.6536318, -53.8138465 -25.6536933, -53.8135645 -25.653899, -53.8133419 -25.6540513, -53.8132373 -25.6541178, -53.8131957 -25.6541289, -53.8130978 -25.6541552, -53.8128773 -25.6542029, -53.812147 -25.654382, -53.8108146 -25.6547103, -53.8098414 -25.654938, -53.8096966 -25.654973, -53.8094701 -25.6550279, -53.8081186 -25.6553526, -53.8067785 -25.6556832, -53.8054782 -25.6559943, -53.805338 -25.6560251, -53.8041967 -25.6563104, -53.8028583 -25.6566326, -53.8015511 -25.6569527)
688263161;2A0F502E;RUA DORVAL BENATTI;Rua Dorval Benatti;LINESTRING (-53.8007516 -25.6556599, -53.8004733 -25.654775, -53.8001594 -25.6537611, -53.7999344 -25.6530316)
342633155;C85CFF69;RUA FERNANDO NORONHA;Rua Fernando de Noronha;LINESTRING (-53.7916124 -25.6876038, -53.7922942 -25.687408, -53.7934108 -25.6870944, -53.7940116 -25.6869699, -53.7948384 -25.6867593, -53.7957567 -25.6865124, -53.7968761 -25.68622, -53.7981178 -25.6859086, -53.7990438 -25.6856807, -53.7992185 -25.6856387, -53.8002918 -25.6853689, -53.8003906 -25.6853436, -53.8008907 -25.6852155, -53.8013302 -25.6851144, -53.8024655 -25.6847714, -53.803013 -25.6846271, -53.8032891 -25.6845378, -53.8033988 -25.6845028, -53.8035899 -25.6844964, -53.80381 -25.6844789)
250411545;E12A8086;RUA GUAIRACAS;Rua Guairacás;LINESTRING (-53.8077241 -25.653966, -53.8081186 -25.6553526, -53.8085437 -25.6567373, -53.8088674 -25.657834)
342635741;E12A8086;RUA GUAIRACAS;Rua Guairacás;LINESTRING (-53.8089745 -25.6581127, -53.8090181 -25.6582582, -53.8093995 -25.6595238, -53.8098223 -25.6609079, -53.8102414 -25.6622807, -53.8106187 -25.6635154, -53.810987 -25.6647213, -53.8113659 -25.6659617, -53.8117274 -25.6671454, -53.8120961 -25.6683525, -53.812413 -25.6693899, -53.8124504 -25.6695122, -53.8127868 -25.6705964, -53.8128296 -25.6707342, -53.8131292 -25.671754, -53.8134287 -25.6730087)
