NOM_LOGRADOURO,SC_ID_LOGRADOURO
"RODOVIA 123",571BF9C7
"RODOVIA 14",95453754
"RODOVIA 163",33773CC3
"RODOVIA 183",ADF4114D
"RODOVIA BR 163",61F7450F
"RODOVIA BR 163 KM 86",23BAC84A
"RODOVIA BR SANTA CLARA",19169F21
"RODOVIA PR",4D72A9DF
"RODOVIA PR 163",2FE9E69F
"RODOVIA PR 167",28842286
"RODOVIA PR 184",2F0E5EB2
"RODOVIA PR 186",C1003F9E
"RODOVIA PR 281",5D221464
"RODOVIA PR 582",C164535B
"RODOVIA REDENCAO AO TREVO FARADAY",1D6D61C7
"RODOVIA TREVO AO PORTO",32BBA422
"RUA 1",3F5AC039
"RUA 25 DE MAIO",EBBD50B2
"RUA 3",D154A115
"RUA 9",3181480B
"RUA ACACIA",40CEE465
"RUA AIMORES",475A4CBA
"RUA ALAGOAS",6741EDC0
"RUA ALDO BIGATON",D3127EAF
"RUA ALECRIM",3B8B5B1F
"RUA ALTO FARADAY",45D64AF2
"RUA ALVERINO BENATTI",22C42DE6
"RUA AMAMBAY",2BADA44C
"RUA ANAJE",349B5C32
"RUA ANTONIO LORENZETTI",0178712E
"RUA ANTONIO LUIZ GIORDANI",A81328E2
"RUA ANTONIO NIEHEUS",0C5BD29F
"RUA ARARAS",3BCA6850
"RUA ARARUNA",5CCA62A7
"RUA ARAUCARIA",97E5BEC0
"RUA ARNO ARTHUR SCHIMTZ",56C9A351
"RUA ARNO EDUARDO STUELP",82F6CF44
"RUA ARROIO GAUCHO",43A63D7E
"RUA ATLANTICO",3A697C0A
"RUA AYMORES",448C4E21
"RUA BAHIA",08C99AE1
"RUA BEIJA FLOR",03D84B29
"RUA BETO MARCELO",A1B39BDD
"RUA BR 582",B714C44C
"RUA CAETE",C5708807
"RUA CALCAMENTO",D62D5593
"RUA CALCAMENTO DUAS BARRAS",7A9CE831
"RUA CALCAMENTO SANTA ANA SAO LUIZ",5737B432
"RUA CALCAMENTO TIGRINH0",323B9B0F
"RUA CALSAMENTO PARA DUAS BARAS",9B536D93
"RUA CAMELIA",1A9F8FA4
"RUA CAMPOS SALES",82F4377B
"RUA CARAMURUS",F0D334EC
"RUA CARAZINHO",C68DFD1E
"RUA CARIJOS",13979A33
"RUA CARIRIS",57F8CF7D
"RUA CARLOS LUDWIG",F0A81270
"RUA CEARA",1C2CD413
"RUA CEDRO",FD5F3BFF
"RUA CEREJEIRA",A1BA5891
"RUA CLARINDA MAGRO",DFFFFDA3
"RUA CONCORDIA",E29DE961
"RUA CRISTO REI",E6FBA2C5
"RUA DAS AMORAS",72013B3E
"RUA DAS ORQUIDEAS",4D53F4AC
"RUA DAS PEROBAS",8C38F4BF
"RUA DIONISIO WONS",35D01E89
"RUA DO COLEGIO",8CA03FDF
"RUA DOM PEDRO II",ABEC2BA9
"RUA DORVAL BENATTI",2A0F502E
"RUA DORVALINA ROSO",6B658DE2
"RUA DOS LIRIOS",DF5EBBEF
"RUA ELZA BIGATON ILKYU",C5F1B6C1
"RUA EMILIO JOSE KUNZ",5CB717D1
"RUA ERMINDO KRAEMER",EC244842
"RUA ESTRADA ALTO FARADAI",DC06BC89
"RUA ESTRADA BOA VISTA",AB696CFF
"RUA ESTRADA CALCAMENTO",A7B69A7A
"RUA ESTRADA CURITIBANA",FC5E68E0
"RUA ESTRADA DUAS BARRAS A MARECHAL",D31211F9
"RUA ESTRADA FACAO",4044BAF0
"RUA ESTRADA S FRANCISCO CAMBUI",B083AB3E
"RUA ESTRADA SANGA DAS AMERICAS",4C0808AA
"RUA ESTRADA SANGA DOS PORCOS",F7A78BBF
"RUA ESTRADA TIGRINHO",1512D856
"RUA ESTRADA TINBAUVA",B4C368BA
"RUA ESTRADA VOLTA GRANDE",7CA0C414
"RUA ESTRELA",E5C94C11
"RUA FAISAO",D1F8AB2D
"RUA FERNANDO NORONHA",C85CFF69
"RUA FIGUEIRA",A4EB9C0A
"RUA FINAL DUAS BARRAS",34E40A76
"RUA GEQUETIBA",EE5FA4E1
"RUA GERALDINA MARTINI",0CF1966B
"RUA GETULIO VARGAS",216CECC4
"RUA GIRASSOL",4B2400BA
"RUA GOIABEIRAS",02C157AE
"RUA GONCALVES MARCELO",01C23839
"RUA GUAIBA",97543947
"RUA GUAIRACAS",E12A8086
"RUA GUAJUVIRA",8791F412
"RUA GUARANI",37EBE4BB
"RUA GUARANIS",7CE46E23
"RUA HERMINIA B BIGATON",FD3CE403
"RUA IPE",32D6B30C
"RUA IRAJA",19493BCD
"RUA ITALIA",75016AA7
"RUA JABORANDI",87E83FEC
"RUA JACINTO ROVEDA",F5B0EB2E
"RUA JATOBA",DDE0C0C4
"RUA JOAO BATISTA MARCHESI",7290ED0F
"RUA JOAO FRANCISCO TOSCAN",5A5B8F0F
"RUA JOAO MARTINS",66745784
"RUA JOSE ROYER",43A27582
"RUA KM 54",AA2E6EF9
"RUA KM54",6BFA00FE
"RUA LAGEADO 60",AE0926C5
"RUA LAGEADO CEDRO",A689CF4D
"RUA LAGOA",EAFFC43B
"RUA LAJEADO CAMBUI",6FE51354
"RUA LAMBARI",DE35170F
"RUA LARANJEIRAS",10FB43E4
"RUA LEOPOLDO KREUTZ",F41CE7AD
"RUA LEOPOLDO SCHMIDT",27AE0E78
"RUA LERCY JOAO ROMAN",6D133D2B
"RUA LINHA MORAES",2588C784
"RUA LINHA SAO PEDRO",0E83DCAA
"RUA LORENO LAGEMANN",18AD13AB
"RUA LOURO BRANCO",5C9A0866
"RUA LUIS CAMPAGNOLLO",819BB077
"RUA LUIZ GERALDO HOLEN",736565AB
"RUA MACIEIRA",F4EFF6AE
"RUA MADRE MARIA SILVINA",4D6537FF
"RUA MARACHALLOTE",42949920
"RUA MARANHAO",5C81EDF2
"RUA MARECHAL DEODORO",38D5B8B8
"RUA MARECHAL FLORIANO",EBEE0EB2
"RUA MARECHAL HERMES",5598A061
"RUA MARGINAL",D3920DE3
"RUA MARTINS NOTTAR",A8B4E8F4
"RUA MATO GROSSO",4A6E811F
