quadras.id,quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria
428945,4104501,01.05.004.0.0055,"POLYGON((-53.81404777266719 -25.666839772048526, -53.81453002641943 -25.6665580492757, -53.814817307842205 -25.667503105905546, -53.81428947129476 -25.667634887019638, -53.81404777266719 -25.666839772048526))"
428946,4104501,01.04.002.12.0412,"POLYGON((-53.779522949679794 -25.6887072199428, -53.7799261807208 -25.689042942280576, -53.77925251139693 -25.689707241839386, -53.778849279631245 -25.68937151769149, -53.779522949679794 -25.6887072199428))"
428947,4104501,01.02.003.0.0020,"POLYGON((-53.81294790074189 -25.6707856898101, -53.81337018250485 -25.670680267962478, -53.81363457189043 -25.671550006991232, -53.81321228744647 -25.671655429831983, -53.81294790074189 -25.6707856898101))"
428948,4104501,01.04.001.1.0067,"POLYGON((-53.80399455465827 -25.662456516383944, -53.80484442599212 -25.663554416284388, -53.80460450131809 -25.663614300519153, -53.804364576473766 -25.663674183966616, -53.80399455465827 -25.662456516383944))"
428969,4104501,01.04.001.0.0036,"POLYGON((-53.798348561684506 -25.666677051729337, -53.799692192147916 -25.666341749473624, -53.80000932828778 -25.667385477466297, -53.79866568758554 -25.667720783507914, -53.798348561684506 -25.666677051729337))"
428970,4104501,01.02.002.0.0043,"POLYGON((-53.80498541439489 -25.67855546926527, -53.8050515022785 -25.678772908615713, -53.80510040749101 -25.678933813699114, -53.80515327816197 -25.67910776510628, -53.80498541439489 -25.67855546926527))"
428971,4104501,01.05.004.1.0021,"POLYGON((-53.80775002576128 -25.658510667598996, -53.80862138631976 -25.65829315142659, -53.80812006614098 -25.65972832599041, -53.80799908841156 -25.659330238864385, -53.80775002576128 -25.658510667598996))"
428972,4104501,01.04.002.12.0414,"POLYGON((-53.78055395700709 -25.68953850003517, -53.780860913989045 -25.689782340391247, -53.7809657288516 -25.68986560277824, -53.77992087138763 -25.690192790706487, -53.78055395700709 -25.68953850003517))"
428973,4104501,01.01.001.0.0021,"POLYGON((-53.80753673741521 -25.666991625032786, -53.80850604938462 -25.666749669798488, -53.808558917694185 -25.666923620260935, -53.80882326190507 -25.667793372038002, -53.80753673741521 -25.666991625032786))"
428980,4104501,01.03.002.0.0014,"POLYGON((-53.80391645187157 -25.674360797701492, -53.80386358575435 -25.674186845420486, -53.805015322328835 -25.67389939593618, -53.805332530473585 -25.674943105839557, -53.80391645187157 -25.674360797701492))"
428981,4104501,01.04.001.2.0039,"POLYGON((-53.80036880420682 -25.66748046488146, -53.801784784192776 -25.668062816229742, -53.80183764375244 -25.668236769871697, -53.800685950126834 -25.668524190513903, -53.80036880420682 -25.66748046488146))"
428982,4104501,01.01.001.0.0017,"POLYGON((-53.806850337208765 -25.664729057073735, -53.80679747261453 -25.66455510565648, -53.80776676734268 -25.66431315679551, -53.808083964954236 -25.665356862030716, -53.806850337208765 -25.664729057073735))"
428983,4104501,01.06.003.4.0009,"POLYGON((-53.8156274133137 -25.67942083767773, -53.816825750279065 -25.679150670122727, -53.81711663330001 -25.68010737108584, -53.81592648532059 -25.680404503396534, -53.8156274133137 -25.67942083767773))"
428992,4104501,01.04.002.3.0114,"POLYGON((-53.791842534448655 -25.685536788479098, -53.79280243628501 -25.685297317813067, -53.792952025397874 -25.685789627167875, -53.791992119879644 -25.686029098358965, -53.791842534448655 -25.685536788479098))"
429000,4104501,01.04.002.4.0121,"POLYGON((-53.80856081885511 -25.679753897463094, -53.809444459503744 -25.680843371257982, -53.80910125195046 -25.680928445936722, -53.8089309550132 -25.680971544493058, -53.80856081885511 -25.679753897463094))"
429001,4104501,01.04.001.2.071A,"POLYGON((-53.80140489886292 -25.66460000986341, -53.80189249887134 -25.664478318768484, -53.802324171793856 -25.664864154861103, -53.80201661496603 -25.66514677358729, -53.80140489886292 -25.66460000986341))"
429002,4104501,01.05.004.1.0058,"POLYGON((-53.80474950175479 -25.653410017706737, -53.80465527646635 -25.65309990854126, -53.80508536791282 -25.65332618183935, -53.805450021983624 -25.65323515920753, -53.80474950175479 -25.653410017706737))"
429003,4104501,01.04.001.2.0073,"POLYGON((-53.80005838161839 -25.664309432020026, -53.80025181240256 -25.664491026383956, -53.80044446120312 -25.6646718857579, -53.799906042468734 -25.66473794252593, -53.80005838161839 -25.664309432020026))"
429004,4104501,01.03.002.3.0025,"POLYGON((-53.801865303157946 -25.676007143072553, -53.802368833322255 -25.675876609494, -53.80260811738619 -25.675814577551275, -53.802936697442576 -25.676855397330907, -53.801865303157946 -25.676007143072553))"
429005,4104501,01.04.002.12.0301,"POLYGON((-53.78410982655931 -25.682222194722392, -53.78434975316089 -25.682162182947526, -53.78453837097572 -25.68278136115104, -53.78405851532424 -25.68290138511374, -53.78410982655931 -25.682222194722392))"
429006,4104501,01.04.001.2.0094,"POLYGON((-53.79265093524595 -25.669454541951477, -53.792917805251086 -25.669392981176102, -53.79318489041447 -25.669331370227404, -53.79348535039498 -25.67032037232264, -53.79265093524595 -25.669454541951477))"
429020,4104501,01.04.001.2.0032,"POLYGON((-53.7996670832415 -25.665229225913617, -53.79961422853041 -25.665055271047002, -53.79989309645281 -25.664985677630327, -53.80087515619262 -25.66586346542794, -53.7996670832415 -25.665229225913617))"
429021,4104501,01.04.001.2.0108,"POLYGON((-53.791104856337554 -25.669840160770786, -53.79166152985885 -25.66970127707419, -53.79196804015785 -25.670710235566784, -53.79141136253441 -25.67084912077851, -53.791104856337554 -25.669840160770786))"
429027,4104501,01.04.001.2.074B,"POLYGON((-53.80255952490274 -25.6656218658588, -53.802901604522916 -25.665536490267044, -53.80358635855874 -25.66648846458382, -53.80340950150232 -25.666532605014535, -53.80255952490274 -25.6656218658588))"
429028,4104501,01.04.002.12.0408,"POLYGON((-53.78078980801624 -25.688344997115884, -53.78120158212051 -25.68867209319837, -53.78054522455426 -25.68935046913617, -53.78013344953519 -25.68902337126883, -53.78078980801624 -25.688344997115884))"
429042,4104501,01.03.002.0.0034,"POLYGON((-53.80326748837513 -25.67696787361517, -53.80441925296381 -25.676680426586234, -53.804736465882335 -25.67772413725654, -53.80358469251388 -25.678011587533287, -53.80326748837513 -25.67696787361517))"
429105,4104501,01.06.003.4.0008,"POLYGON((-53.81698814686017 -25.67912692643119, -53.818161043292626 -25.67890895002294, -53.818430779929066 -25.679796069538273, -53.817279031070164 -25.680083626968557, -53.81698814686017 -25.67912692643119))"
428773,4104501,02.06.005.0.0003,"POLYGON((-53.879259359844355 -25.61187403126884, -53.87972831070965 -25.61256185719858, -53.87871691769386 -25.61318658052212, -53.878247969471424 -25.612498751103594, -53.879259359844355 -25.61187403126884))"
428793,4104501,01.04.001.2.0095,"POLYGON((-53.79212940293168 -25.669583325532173, -53.79234685499597 -25.669533165243653, -53.79252432712787 -25.66949222697415, -53.79273629515537 -25.670191444358412, -53.79212940293168 -25.669583325532173))"
429104,4104501,01.01.002.0.0012,"POLYGON((-53.806646938214726 -25.673492161035572, -53.807311770015225 -25.67332621980274, -53.80695992914478 -25.674521950275214, -53.806863704919294 -25.674205359797583, -53.806646938214726 -25.673492161035572))"
428794,4104501,02.06.005.0.0005,"POLYGON((-53.87631251390673 -25.613694215415485, -53.877183942110015 -25.6131559700448, -53.877652887551555 -25.61384380313363, -53.876814153564794 -25.61436185634293, -53.87631251390673 -25.613694215415485))"
428795,4104501,01.04.002.4.0080,"POLYGON((-53.80626392094925 -25.68299370973074, -53.80495147684899 -25.682609534180187, -53.805052252408274 -25.682941085841378, -53.805409230442805 -25.684115525704158, -53.80626392094925 -25.68299370973074))"
428796,4104501,01.05.004.0.0059,"POLYGON((-53.81184872829612 -25.667252633289458, -53.81281690681187 -25.665682176046023, -53.81321346454766 -25.666986788438965, -53.81213424645644 -25.66819195645763, -53.81184872829612 -25.667252633289458))"
